date,time_of_day,open_interest
2024-09-09,10:00:00,55425.0
2024-09-09,10:30:00,55539.8
2024-09-09,11:00:00,55439.2
2024-09-09,11:30:00,54943.2
2024-09-09,12:00:00,55054.2
2024-09-09,12:30:00,55355.8
2024-09-09,13:00:00,55983.5
2024-09-09,13:30:00,56311.0
2024-09-09,14:00:00,56577.8
2024-09-09,14:30:00,56532.0
2024-09-09,15:00:00,56475.5
2024-09-09,15:30:00,56530.0
2024-09-09,16:00:00,56718.5
2024-09-09,16:30:00,56971.0
2024-09-09,17:00:00,56935.8
2024-09-09,17:30:00,56967.6
2024-09-09,18:00:00,57523.8
2024-09-09,18:30:00,57527.3
2024-09-09,19:00:00,57468.9
2024-09-09,19:30:00,57305.4
2024-09-09,20:00:00,57182.6
2024-09-09,20:30:00,57125.8
2024-09-09,21:00:00,56770.7
2024-09-09,21:30:00,56862.5
2024-09-09,22:00:00,56973.8
2024-09-09,22:30:00,56841.4
2024-09-09,23:00:00,56739.5
2024-09-09,23:30:00,56780.8
2024-09-10,00:00:00,56661.8
2024-09-10,00:30:00,56580.6
2024-09-10,01:00:00,56555.6
2024-09-10,01:30:00,56508.0
2024-09-10,02:00:00,56762.6
2024-09-10,02:30:00,56902.0
2024-09-10,03:00:00,56831.6
2024-09-10,03:30:00,56876.7
2024-09-10,04:00:00,57040.9
2024-09-10,04:30:00,57203.1
2024-09-10,05:00:00,57296.3
2024-09-10,05:30:00,57134.7
2024-09-10,06:00:00,56944.0
2024-09-10,06:30:00,57127.4
2024-09-10,07:00:00,57020.0
2024-09-10,07:30:00,57141.4
2024-09-10,08:00:00,57142.3
2024-09-10,08:30:00,57089.1
2024-09-10,09:00:00,57264.3
2024-09-10,09:30:00,57320.3
2024-09-10,10:00:00,56984.9
2024-09-10,10:30:00,56762.5
2024-09-10,11:00:00,56683.1
2024-09-10,11:30:00,56969.2
2024-09-10,12:00:00,56968.8
2024-09-10,12:30:00,56837.6
2024-09-10,13:00:00,56703.8
2024-09-10,13:30:00,56824.9
2024-09-10,14:00:00,57140.3
2024-09-10,14:30:00,57191.8
2024-09-10,15:00:00,57557.1
2024-09-10,15:30:00,57765.6
2024-09-10,16:00:00,57478.9
2024-09-10,16:30:00,57883.2
2024-09-10,17:00:00,57805.2
2024-09-10,17:30:00,57735.6
2024-09-10,18:00:00,57673.4
2024-09-10,18:30:00,57561.3
2024-09-10,19:00:00,57566.3
2024-09-10,19:30:00,57552.2
2024-09-10,20:00:00,57709.0
2024-09-10,20:30:00,57710.8
2024-09-10,21:00:00,57518.0
2024-09-10,21:30:00,57608.0
2024-09-10,22:00:00,57482.1
2024-09-10,22:30:00,56930.7
2024-09-10,23:00:00,56900.3
2024-09-10,23:30:00,56965.8
2024-09-11,00:00:00,56806.2
2024-09-11,00:30:00,56804.7
2024-09-11,01:00:00,56486.5
2024-09-11,01:30:00,56415.4
2024-09-11,02:00:00,56260.7
2024-09-11,02:30:00,56229.6
2024-09-11,03:00:00,56292.2
2024-09-11,03:30:00,56503.8
2024-09-11,04:00:00,56598.2
2024-09-11,04:30:00,56670.3
2024-09-11,05:00:00,56563.7
2024-09-11,05:30:00,56458.9
2024-09-11,06:00:00,56535.3
2024-09-11,06:30:00,56656.5
2024-09-11,07:00:00,56475.7
2024-09-11,07:30:00,56541.4
2024-09-11,08:00:00,56672.7
2024-09-11,08:30:00,56831.8
2024-09-11,09:00:00,56798.6
2024-09-11,09:30:00,56573.2
2024-09-11,10:00:00,56973.7
2024-09-11,10:30:00,56109.4
2024-09-11,11:00:00,55782.8
2024-09-11,11:30:00,55676.6
2024-09-11,12:00:00,56156.7
2024-09-11,12:30:00,56693.3
2024-09-11,13:00:00,56976.7
2024-09-11,13:30:00,57241.4
2024-09-11,14:00:00,57551.3
2024-09-11,14:30:00,57703.7
2024-09-11,15:00:00,57863.0
2024-09-11,15:30:00,57622.4
2024-09-11,16:00:00,57469.6
2024-09-11,16:30:00,57648.4
2024-09-11,17:00:00,57596.7
2024-09-11,17:30:00,57534.4
2024-09-11,18:00:00,57371.3
2024-09-11,18:30:00,57325.1
2024-09-11,19:00:00,57355.3
2024-09-11,19:30:00,57360.7
2024-09-11,20:00:00,57471.0
2024-09-11,20:30:00,57372.0
2024-09-11,21:00:00,57599.4
2024-09-11,21:30:00,57758.7
2024-09-11,22:00:00,57678.1
2024-09-11,22:30:00,57985.9
2024-09-11,23:00:00,58221.5
2024-09-11,23:30:00,57947.2
2024-09-12,00:00:00,58226.9
2024-09-12,00:30:00,58299.3
2024-09-12,01:00:00,58334.6
2024-09-12,01:30:00,58228.6
2024-09-12,02:00:00,58124.3
2024-09-12,02:30:00,58072.4
2024-09-12,03:00:00,57936.3
2024-09-12,03:30:00,57932.1
